Date/Time (PST),T_0.4m (K),T_2m (K),u_0.4m (m s-1),u_2m (m s-1),Rn (W m-2),u'w' (m2 s-2),w'T' (K m s-1),w'rho_v' (g m-2 s-1),w'rho_CO2' (micromol m-2 s-1),w'rho_CH4' (microåmol m-2 s-1),Pa (kPa),PPFD (micromol m-2 s-1),rv
2016-08-29 00:30:00,284.6,286.4,0.0,0.16,0.76,-0.0158,0.0026,0.0007,1.4225,0.0968,101.66000366210938,101.66000366210938,0.013499734000000001
2016-08-29 01:00:00,283.98,286.12,0.19,0.28,0.51,-0.0019,0.0027,0.0018,1.4008,0.0957,101.66500091552734,101.66500091552734,0.013206384
2016-08-29 01:30:00,283.56,285.51,0.12,0.22,1.11,-0.0019,0.0014,0.0006,1.3828,0.0948,101.66999816894533,101.66999816894533,0.012649351
2016-08-29 02:00:00,282.78,284.55,0.19,0.26,0.44,-0.0007,0.0002,0.0003,1.3623,0.0938,101.6750030517578,101.6750030517578,0.012055142
2016-08-29 02:30:00,282.43,283.95,0.0,0.08,-0.57,-0.004,0.0053,0.0023,1.3341,0.0924,101.68000030517578,101.68000030517578,0.011557969999999999
2016-08-29 03:00:00,282.31,283.84,0.12,0.2,-1.4,-0.001,0.0004,0.0001,1.3095,0.0913,101.68000030517578,101.68000030517578,0.011558019
2016-08-29 03:30:00,281.97,283.48,0.26,0.35,0.04,-0.0016,0.0013,0.0004,1.2856,0.0902,101.68000030517578,101.68000030517578,0.011252624000000001
2016-08-29 04:00:00,282.48,284.22,0.67,0.74,-0.43,-0.002,0.0095,0.0013,1.2555,0.0889,101.66999816894533,101.66999816894533,0.011618321000000001
2016-08-29 04:30:00,285.04,285.86,0.43,0.55,-0.18,-0.0009,-0.0011,-0.0039,1.2033,0.0867,101.66000366210938,101.66000366210938,0.013153418
2016-08-29 05:00:00,284.89,285.79,0.04,0.17,0.18,-0.0019,0.0005,0.0008,2.5252,0.0653,101.68000030517578,101.68000030517578,0.013626963
2016-08-29 05:30:00,285.45,286.26,0.08,0.24,0.37,-0.0017,-0.0014,-0.0006,1.1635,0.2491,101.6999969482422,101.6999969482422,0.014089711
2016-08-29 06:00:00,286.35,287.07,0.07,0.37,4.69,-0.0013,-0.0004,-0.0004,1.1464,0.0844,101.72000122070312,101.72000122070312,0.014695015
2016-08-29 06:30:00,286.9,287.33,0.53,0.74,20.17,-0.0055,0.0027,-0.0002,1.3611,0.0852,101.73999786376952,101.73999786376952,0.014994289000000001
2016-08-29 07:00:00,287.11,287.39,0.84,1.23,47.47,-0.0158,0.0076,0.0001,0.8821,0.0665,101.75,101.75,0.0151125765
2016-08-29 07:30:00,287.39,287.47,0.9,1.41,75.0,-0.0268,0.0156,-0.0,0.5724,0.0899,101.76000213623048,101.76000213623048,0.015284836999999999
2016-08-29 08:00:00,287.52,287.56,1.04,1.47,101.27,-0.0222,0.0194,-0.0005,-0.3223,0.0642,101.74500274658205,101.74500274658205,0.015419762
2016-08-29 08:30:00,288.11,287.85,0.84,1.25,160.31,-0.024,0.035,0.003,-1.4389,0.0689,101.7300033569336,101.7300033569336,0.016088902999999998
2016-08-29 09:00:00,289.74,288.75,0.91,1.24,318.54,-0.0233,0.0866,0.0185,-2.8908,0.0862,101.70999908447266,101.70999908447266,0.01711169
2016-08-29 09:30:00,292.93,290.62,1.0,1.32,423.94,-0.0252,0.1379,0.0155,-1.3087,0.094,101.69000244140624,101.69000244140624,0.016513722999999998
2016-08-29 10:00:00,294.27,292.04,1.18,1.93,467.72,-0.0761,0.1688,0.0285,-0.3952,0.1048,101.66500091552734,101.66500091552734,0.016400255000000002
2016-08-29 10:30:00,294.54,292.55,1.71,2.53,497.95,-0.0859,0.1695,0.027,-1.5142,0.0855,101.63999938964844,101.63999938964844,0.01638327
2016-08-29 11:00:00,294.87,292.77,1.39,2.24,534.1,-0.0928,0.1972,0.0343,-1.4296,0.0771,101.61499786376952,101.61499786376952,0.016161127
2016-08-29 11:30:00,295.25,293.22,1.39,2.22,555.15,-0.0905,0.2034,0.037,-1.2749,0.0982,101.58999633789062,101.58999633789062,0.016436829
2016-08-29 12:00:00,296.15,294.1,1.22,1.92,565.5,-0.0742,0.2201,0.0537,-1.5876,0.1101,101.55999755859376,101.55999755859376,0.01621429
2016-08-29 12:30:00,297.06,294.92,1.38,1.87,559.44,-0.0471,0.1966,0.0514,-1.9812,0.0969,101.52999877929688,101.52999877929688,0.015710731
2016-08-29 13:00:00,298.06,296.03,0.88,1.37,553.94,-0.0473,0.1905,0.064,-1.5298,0.0929,101.50499725341795,101.50499725341795,0.015209410999999999
2016-08-29 13:30:00,298.18,296.29,1.17,1.77,534.4,-0.0598,0.1873,0.062,-1.2409,0.106,101.4800033569336,101.4800033569336,0.01523737
2016-08-29 14:00:00,298.39,296.65,1.04,1.65,474.63,-0.0605,0.1853,0.0606,-2.9838,0.0956,101.45999908447266,101.45999908447266,0.014848604999999999
2016-08-29 14:30:00,298.77,296.69,0.98,1.7,450.88,-0.0714,0.163,0.0521,-1.5256,0.0981,101.44000244140624,101.44000244140624,0.015053984
2016-08-29 15:00:00,298.26,296.38,1.3,1.88,374.49,-0.053,0.1397,0.051,1.3725,0.1126,101.41999816894533,101.41999816894533,0.015063174
2016-08-29 15:30:00,297.62,296.14,1.3,2.1,266.1,-0.0735,0.1,0.0334,-1.421,0.0935,101.4000015258789,101.4000015258789,0.014663908
2016-08-29 16:00:00,296.57,295.6,1.5,2.24,160.12,-0.059,0.0609,0.0248,-1.6163,0.0931,101.38999938964844,101.38999938964844,0.014234675
2016-08-29 16:30:00,294.91,294.6,1.13,1.76,52.79,-0.0354,0.0154,0.0178,-0.1637,0.1067,101.37999725341795,101.37999725341795,0.01386303
2016-08-29 17:00:00,294.07,294.19,0.98,1.56,48.5,-0.0304,0.0109,0.0158,-0.251,0.1,101.375,101.375,0.014291874
2016-08-29 17:30:00,293.77,293.97,0.71,1.26,28.89,-0.0241,0.0042,0.0128,0.1331,0.1083,101.37000274658205,101.37000274658205,0.014025033000000001
2016-08-29 18:00:00,293.12,293.43,0.8,1.24,5.37,-0.0159,0.0029,0.0052,0.2005,0.0809,101.37000274658205,101.37000274658205,0.013900024
2016-08-29 18:30:00,291.89,292.49,0.57,1.09,-22.28,-0.0087,-0.0027,-0.0006,0.2492,0.044,101.37000274658205,101.37000274658205,0.014228073
2016-08-29 19:00:00,290.7,291.68,0.43,1.13,-39.75,-0.0048,-0.0041,0.0006,0.3376,0.0305,101.375,101.375,0.014383126000000001
2016-08-29 19:30:00,289.77,291.24,0.63,0.82,-41.1,-0.0025,-0.0035,-0.0012,1.2507,0.0458,101.37999725341795,101.37999725341795,0.013960375
2016-08-29 20:00:00,288.97,290.52,0.0,0.26,-41.3,-0.0166,-0.0038,0.0001,2.9092,0.0205,101.38999938964844,101.38999938964844,0.014085567
2016-08-29 20:30:00,287.82,289.87,0.35,0.56,-41.53,-0.005,0.0014,0.0011,1.8038,0.1202,101.4000015258789,101.4000015258789,0.014165471
2016-08-29 21:00:00,287.15,289.34,0.4,0.61,-44.62,-0.0029,-0.0029,-0.0005,2.8292,0.0932,101.4000015258789,101.4000015258789,0.013859154
2016-08-29 21:30:00,286.47,288.35,0.29,0.42,-40.86,-0.0032,0.0035,0.0012,1.7558,0.1169,101.4000015258789,101.4000015258789,0.013666402
2016-08-29 22:00:00,285.84,287.39,0.11,0.3,-43.12,-0.0054,0.0039,0.001,1.7358,0.1155,101.40499877929688,101.40499877929688,0.013276301
2016-08-29 22:30:00,285.28,287.05,0.0,0.27,-44.34,-0.0112,0.0089,0.003,1.7088,0.1137,101.41000366210938,101.41000366210938,0.0132426605
2016-08-29 23:00:00,285.15,286.83,0.05,0.49,-45.43,-0.0122,-0.0017,-0.0004,1.6788,0.3046,101.41500091552734,101.41500091552734,0.013105858
2016-08-29 23:30:00,284.66,286.64,0.15,0.41,-45.58,-0.0046,-0.0063,-0.0015,2.7116,0.1708,101.41999816894533,101.41999816894533,0.013117098
2016-08-30 00:00:00,284.44,286.6,0.21,0.34,-44.88,-0.0028,0.0022,0.0005,1.6169,0.1078,101.43000030517578,101.43000030517578,0.013316695
