TIME(PST),T_1,T_2,T_3,T_4,H_g,WVC,R_n,H
2009/07/29 00:15,15.208,15.573,15.217,12.489,-0.91,0.232,-23.1,-9999
2009/07/29 00:30,15.077,15.478,15.239,12.493,-1.05,0.232,-22.4,-4.4
2009/07/29 00:45,14.99,15.409,15.189,12.478,-1.18,0.232,-23.4,-9999
2009/07/29 01:00,14.934,15.358,15.151,12.497,-1.13,0.232,-26.5,-14.4
2009/07/29 01:15,14.895,15.267,15.11,12.486,-0.99,0.232,-29.2,-9999
2009/07/29 01:30,14.853,15.233,15.069,12.499,-0.92,0.232,-30.9,-8.7
2009/07/29 01:45,14.786,15.165,15.04,12.531,-0.96,0.232,-34.5,-9999
2009/07/29 02:00,14.707,15.131,15.004,12.527,-1.02,0.232,-30.2,-6.5
2009/07/29 02:15,14.628,15.064,15.002,12.537,-1.14,0.232,-29.3,-9999
2009/07/29 02:30,14.572,15.016,14.971,12.529,-1.28,0.232,-29.6,-2.7
2009/07/29 02:45,14.475,14.93,14.9,12.532,-1.41,0.232,-30.1,-9999
2009/07/29 03:00,14.392,14.893,14.898,12.556,-1.52,0.232,-28.4,-1.0
2009/07/29 03:15,14.309,14.822,14.85,12.54,-1.61,0.232,-26.9,-9999
2009/07/29 03:30,14.24,14.777,14.864,12.525,-1.74,0.232,-25.5,-0.9
2009/07/29 03:45,14.163,14.708,14.824,12.548,-1.8,0.232,-21.7,-9999
2009/07/29 04:00,14.118,14.658,14.784,12.548,-1.83,0.232,-19.1,-2.3
2009/07/29 04:15,14.004,14.597,14.775,12.551,-1.78,0.232,-17.3,-9999
2009/07/29 04:30,13.963,14.529,14.74,12.545,-1.78,0.232,-15.7,-2.1
2009/07/29 04:45,13.886,14.464,14.68,12.552,-1.79,0.233,-11.3,-9999
2009/07/29 05:00,13.852,14.407,14.649,12.575,-1.8,0.233,-5.9,-3.8
2009/07/29 05:15,13.848,14.352,14.628,12.536,-1.8,0.232,1.5,-9999
2009/07/29 05:30,13.822,14.344,14.593,12.588,-1.73,0.232,9.6,-5.6
2009/07/29 05:45,13.81,14.272,14.556,12.593,-1.56,0.233,25.8,-9999
2009/07/29 06:00,13.862,14.268,14.49,12.572,-1.25,0.232,45.4,1.3
2009/07/29 06:15,13.884,14.217,14.445,12.538,-0.78,0.233,68.8,-9999
2009/07/29 06:30,13.991,14.173,14.404,12.538,-0.24,0.232,81.7,11.1
2009/07/29 06:45,14.131,14.173,14.372,12.515,0.32,0.232,94.6,-9999
2009/07/29 07:00,14.244,14.188,14.314,12.508,0.9,0.232,119.6,22.7
